Date,ANZ,ASX200,BOQ,CBA,NAB,QBE,SUN,WBC
1999-01-01,8.413491249084473,,,14.560169219970703,,,7.96579122543335,
1999-01-04,8.47651481628418,2732.199951171875,,14.40292739868164,12.99551010131836,2.648446559906006,7.96579122543335,6.37062931060791
1999-01-05,8.452880859375,2716.60009765625,,14.409223556518555,13.169947624206543,2.5642473697662354,7.96579122543335,6.485921382904053
1999-01-06,8.635644912719727,2755.60009765625,,14.52557373046875,13.319618225097656,2.617828607559204,7.96579122543335,6.722419261932373
1999-01-07,8.752238273620605,2800.39990234375,,14.906088829040527,13.975747108459473,2.7173373699188232,7.96579122543335,6.908658981323242
1999-01-08,8.547414779663086,2757.39990234375,,14.591612815856934,13.860333442687988,2.6982014179229736,7.96579122543335,6.670390605926514
1999-01-11,8.468637466430664,2749.699951171875,,14.438151359558105,13.660069465637207,2.7173373699188232,7.96579122543335,6.500702857971191
1999-01-12,8.381979942321777,2746.60009765625,,14.277140617370605,13.615797996520996,2.682126998901367,7.96579122543335,6.503658294677734
1999-01-13,8.216547012329102,2721.39990234375,,14.067070007324219,13.27587890625,2.6193597316741943,7.96579122543335,6.533219814300537
1999-01-14,8.051112174987793,2704.10009765625,,13.931221008300781,13.359671592712402,2.540518283843994,7.96579122543335,6.444533348083496
1999-01-15,8.098380088806152,2709.39990234375,,14.185943603515625,13.264813423156738,2.514493465423584,7.96579122543335,6.394869804382324
1999-01-18,8.24805736541748,2724.89990234375,,14.371481895446777,13.396565437316895,2.5221478939056396,7.96579122543335,6.515483856201172
1999-01-19,8.298476219177246,2747.300048828125,,14.528718948364258,13.702228546142578,2.525974750518799,7.96579122543335,6.605352878570557
1999-01-20,8.359134674072266,2764.800048828125,,14.371481895446777,13.812374114990234,2.491529941558838,7.96579122543335,6.61599588394165
1999-01-21,8.185036659240723,2743.199951171875,,14.308586120605469,13.82923412322998,2.4532580375671387,7.96579122543335,6.5627827644348145
1999-01-22,8.145647048950195,2736.699951171875,,14.277140617370605,13.860333442687988,2.4953575134277344,7.96579122543335,6.493607044219971
1999-01-25,8.098380088806152,2713.10009765625,,14.251981735229492,13.699064254760742,2.480048656463623,7.96579122543335,6.326286315917969
1999-01-26,9.626673698425293,,,14.251981735229492,13.699064254760742,2.480048656463623,7.96579122543335,6.326286315917969
1999-01-27,8.120437622070312,2738.800048828125,,14.490981101989746,13.760198593139648,2.46856689453125,7.96579122543335,6.355848789215088
1999-01-28,8.232301712036133,2765.10009765625,,14.811748504638672,14.007896423339844,2.4379494190216064,7.96579122543335,6.480008602142334
1999-01-29,8.245696067810059,2781.699951171875,,15.04571533203125,14.065336227416992,2.4310591220855713,7.96579122543335,6.503658294677734
1999-02-01,8.271692276000977,2805.0,,15.189114570617676,14.16283130645752,2.498037576675415,7.96579122543335,6.663293838500977
1999-02-02,8.350469589233398,2790.199951171875,,15.012381553649902,14.060596466064453,2.490382194519043,7.96579122543335,6.503658294677734
1999-02-03,8.468637466430664,2803.60009765625,,15.044456481933594,14.018434524536133,2.5183217525482178,7.96579122543335,6.444533348083496
1999-02-04,8.303202629089355,2823.800048828125,,15.1325101852417,14.071133613586426,2.5366926193237305,7.96579122543335,6.503658294677734
1999-02-05,8.255935668945312,2794.800048828125,,15.157036781311035,13.913031578063965,2.480048656463623,7.96579122543335,6.497746467590332
1999-02-08,8.24805736541748,2784.39990234375,,15.279685020446777,13.654271125793457,2.46856689453125,7.96579122543335,6.338109970092773
1999-02-09,8.154313087463379,2780.199951171875,,15.409246444702148,13.623173713684082,2.454406261444092,7.96579122543335,6.2848992347717285
1999-02-10,8.106258392333984,2747.199951171875,,15.60422134399414,13.420278549194336,2.404269218444824,7.96579122543335,6.208039283752441
1999-02-11,8.090502738952637,2758.39990234375,,15.704852104187012,13.540961265563965,2.3958494663238525,7.96579122543335,6.030664920806885
1999-02-12,8.271692276000977,2777.89990234375,,15.849507331848145,13.888258934020996,2.422639846801758,7.96579122543335,6.148913383483887
1999-02-15,8.20866870880127,2768.300048828125,,15.962721824645996,13.886679649353027,2.3996763229370117,7.96579122543335,6.077965259552002
1999-02-16,8.044021606445312,2753.39990234375,,15.539443969726562,13.886679649353027,2.3996763229370117,7.96579122543335,6.072052955627441
1999-02-17,8.106258392333984,2771.89990234375,,15.541327476501465,13.895641326904297,2.4149856567382812,7.96579122543335,6.255336761474609
1999-02-18,8.216547012329102,2772.300048828125,,15.41553783416748,13.870871543884277,2.457085132598877,7.96579122543335,6.361761093139648
1999-02-19,8.318957328796387,2807.89990234375,,15.41553783416748,14.028973579406738,2.525974750518799,7.96579122543335,6.474096298217773
1999-02-22,8.255935668945312,2799.39990234375,,15.277169227600098,13.934114456176758,2.353750228881836,7.96579122543335,6.290810585021973
1999-02-23,8.160614967346191,2811.0,,15.465852737426758,14.1712646484375,2.334613800048828,7.96579122543335,6.3321990966796875
1999-02-24,8.145647048950195,2819.10009765625,,15.623720169067383,14.38206672668457,2.277205467224121,7.96579122543335,6.442759990692139
1999-02-25,8.1141357421875,2790.89990234375,,15.402958869934082,14.318828582763672,2.3078229427337646,7.96579122543335,6.426797389984131
1999-02-26,8.192914009094238,2768.39990234375,,15.220566749572754,14.150187492370605,2.315477132797241,7.96579122543335,6.294950485229492
1999-03-01,8.271692276000977,2794.10009765625,,15.377799034118652,14.387341499328613,2.3499231338500977,7.96579122543335,6.267161846160889
1999-03-02,8.106258392333984,2776.60009765625,,15.440693855285645,14.277721405029297,2.353367567062378,7.96579122543335,6.196212291717529
1999-03-03,8.082624435424805,2773.10009765625,,15.59793472290039,14.202884674072266,2.3652310371398926,7.96579122543335,6.296724319458008
1999-03-04,8.185036659240723,2769.39990234375,,15.484720230102539,14.184446334838867,2.3652310371398926,7.96579122543335,6.267161846160889
1999-03-05,8.240179061889648,2785.5,,15.459563255310059,14.413690567016602,2.353750228881836,7.96579122543335,6.267161846160889
1999-03-08,8.324472427368164,2811.10009765625,,15.648246765136719,14.642940521240234,2.346095561981201,7.96579122543335,6.326286315917969
1999-03-09,8.311080932617188,2801.800048828125,,15.635666847229004,14.697748184204102,2.376713275909424,7.96579122543335,6.237598896026611
1999-03-10,8.405614852905273,2812.199951171875,,15.912412643432617,14.80894660949707,2.411158561706543,7.96579122543335,6.249424457550049
1999-03-11,8.433186531066895,2831.10009765625,,16.201725006103516,14.940701484680176,2.3728859424591064,7.96579122543335,6.255336761474609
1999-03-12,8.350469589233398,2843.300048828125,,16.35267448425293,14.785758972167969,2.3996763229370117,7.96579122543335,6.29140043258667
1999-03-15,8.523781776428223,2874.10009765625,,16.764005661010742,14.9644136428833,2.4073307514190674,7.96579122543335,6.439803123474121
1999-03-16,8.65770435333252,2874.5,,16.21430015563965,15.014482498168945,2.4149856567382812,7.96579122543335,6.468183994293213
1999-03-17,8.7916259765625,2864.0,,16.20801544189453,14.803674697875977,2.4188127517700195,7.96579122543335,6.5627827644348145
1999-03-18,8.744359970092773,2857.89990234375,,16.340089797973633,14.745704650878906,2.411158561706543,7.96579122543335,6.509570598602295
1999-03-19,8.980693817138672,2876.10009765625,,16.30801773071289,14.940701484680176,2.434121608734131,7.96579122543335,6.657382011413574
1999-03-22,9.05947208404541,2881.300048828125,,16.52248764038086,14.977590560913086,2.464740037918091,7.96579122543335,6.686943531036377
1999-03-23,9.212300300598145,2885.800048828125,,16.761484146118164,15.035562515258789,2.4609129428863525,7.96579122543335,6.8288421630859375
1999-03-24,9.13037109375,2865.5,,16.447641372680664,14.893267631530762,2.4532580375671387,7.96579122543335,6.751979827880859
1999-03-25,8.980693817138672,2887.300048828125,,16.45833396911621,14.962833404541016,2.487703323364258,7.96579122543335,6.7957305908203125
1999-03-26,8.970451354980469,2896.300048828125,,16.51053810119629,14.971794128417969,2.525974750518799,7.96579122543335,6.8116960525512695
1999-03-29,9.035837173461914,2873.300048828125,,16.453298568725586,14.735166549682617,2.525974750518799,7.96579122543335,6.781541347503662
1999-03-30,9.196544647216797,2894.0,,16.541357040405273,15.018169403076172,2.5451111793518066,7.96579122543335,6.905703544616699
